City,University,Course,Available,International_Student,Campus,Duration_Years,Annual_Tuition_AUD,Total_Tuition_AUD,CRICOS_Code,Start_Dates,Tuition_Source,Course_Source,Last_Verified
Melbourne,RMIT University,Master of Data Science,Yes,Yes,Melbourne City,2,"A$44,160","A$88,320",093313B,February / July,RMIT 2026 international course page,RMIT official course page,2026-08-20
Melbourne,The University of Melbourne,Master of Data Science,Yes,Yes,Parkville,2,"A$57,984","A$115,968",092791B,March,University of Melbourne 2026 international fees,University of Melbourne official course page,2026-08-20
Melbourne,Monash University,Master of Data Science,Yes,Yes,Clayton,2,"A$52,900","A$105,800",085349A,February / July,Monash 2026 international guide,Monash official course page,2026-08-20
Melbourne,La Trobe University,Master of Data Science,Yes,Yes,Bundoora,2,"A$43,800","A$87,600",092396B,March / July / November,La Trobe 2026 international information,La Trobe official course page,2026-08-20
Melbourne,Swinburne University of Technology,Master of Data Science,Yes,Yes,Hawthorn,2,"A$45,010","A$90,020",099117B,2026 intakes,Swinburne 2026 international guide,Swinburne official course page,2026-08-20
Melbourne,Federation University Australia,Master of Data Science,Yes,Yes,Melbourne City,2,"A$41,400","A$82,800",118376K,Nov 2026 / Mar 2027 / Jul 2027,Study Australia 2026 course record,Study Australia course record,2026-08-20
Melbourne,RMIT University,Master of Information Technology,Yes,Yes,Melbourne City,2,"A$44,160","A$88,320",079795G,February / July,RMIT 2026 international course page,RMIT official course page,2026-08-20
Melbourne,Deakin University,Master of Information Technology,Yes,Yes,Burwood,2,"A$44,200","A$88,400",102805C,2026 intakes,Deakin 2026 international handbook,Deakin official handbook,2026-08-20
Melbourne,Monash University,Master of Information Technology,Yes,Yes,Clayton,2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,079055K,February / July / November,Monash current page: fee to be advised,Monash official course page,2026-08-20
Melbourne,La Trobe University,Master of Information Technology,Yes,Yes,Bundoora,1.5 / 2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,037928B,March / July / November,La Trobe current 2026 page,La Trobe official course page,2026-08-20
Melbourne,Swinburne University of Technology,Master of Information Technology,Yes,Yes,Hawthorn,2,"A$43,930","A$87,860",001742J,2026 intakes,Swinburne 2026 international information,Swinburne official course page,2026-08-20
Melbourne,The University of Melbourne,Master of Information Technology,Yes,Yes,Parkville,2,"A$64,000","A$128,000",077475F,March / July,University of Melbourne 2026 international fees,University of Melbourne official course page,2026-08-20
Melbourne,Southern Cross University,Master of Information Technology,Yes,Yes,Melbourne,2,"A$26,000","A$52,000",117757E,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Melbourne,RMIT University,Master of Business Administration,Yes,Yes,Melbourne City,2,"A$50,880","A$101,760",077514D,February / July / October,RMIT 2026 international course page,RMIT official course page,2026-08-20
Melbourne,The University of Melbourne,Master of Business Administration,Yes,Yes,Parkville,2,"A$56,268","A$112,536",101669,August,University of Melbourne 2026 international fees,University of Melbourne official course page,2026-08-20
Melbourne,Swinburne University of Technology,Master of Business Administration,Yes,Yes,Hawthorn,2,"A$48,420","A$96,840",102648M,Semester 1 / 2,Swinburne 2026 international information,Swinburne official course page,2026-08-20
Melbourne,Australian Catholic University,Master of Business Administration,Yes,Yes,Melbourne,2,"A$38,096","A$76,192",084682G,March / August,Study Australia 2026 course record,ACU 2026 handbook,2026-08-20
Melbourne,Southern Cross University,Master of Business Administration,Yes,Yes,Melbourne,2,"A$26,000","A$52,000",079662J,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Sydney,Macquarie University,Master of Data Science,Yes,Yes,Macquarie Park,2,"A$46,300","A$92,600",080284J,27 July 2026,Study Australia / Macquarie 2026,Macquarie 2026 handbook,2026-08-20
Sydney,Western Sydney University,Master of Data Science,Yes,Yes,Parramatta,2,"A$41,219","A$82,438",089442E,March / July,Western Sydney 2026 international fee sheet,Study Australia / WSU,2026-08-20
Sydney,UNSW Sydney,Master of Information Technology,Yes,Yes,Kensington,2,"A$63,000","A$130,500",061294J,2026 intakes,UNSW 2026 international fee,UNSW official course page,2026-08-20
Sydney,University of Technology Sydney (UTS),Master of Information Technology,Yes,Yes,City,2,Cannot establish exact reliable 2026 figure,"A$113,242",084256C,March / July,Study Australia total; annual figure not cleanly verified,UTS official course page,2026-08-20
Sydney,Macquarie University,Master of Information Technology,Yes,Yes,Macquarie Park,2,"A$47,623","A$95,246",083790M,27 July 2026,Macquarie 2026 fee information,Macquarie 2026 handbook,2026-08-20
Sydney,Australian Catholic University,Master of Information Technology,Yes,Yes,North Sydney,2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,079874G,March / August,ACU exact 2026 international figure not established,ACU official course page,2026-08-20
Sydney,University of Newcastle,Master of Information Technology,Yes,Yes,Sydney,2,"A$47,600","A$95,200",083517F,Trimester 1 / 2 / 3,Newcastle 2026 international brochure,Newcastle 2026 handbook,2026-08-20
Sydney,Southern Cross University,Master of Information Technology,Yes,Yes,Sydney,2,"A$26,000","A$52,000",117757E,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Sydney,UNSW Sydney (AGSM),Master of Business Administration,Yes,Yes,Kensington,1,"A$83,500","A$83,500",106822C,May 2026,UNSW AGSM 2026 fee,UNSW AGSM official course page,2026-08-20
Sydney,Macquarie University,Master of Business Administration,Yes,Yes,Macquarie Park,2,"A$46,500","A$93,000",083781A,June / September,Study Australia 2026 course record,Macquarie 2026 course information,2026-08-20
Sydney,Western Sydney University,Master of Business Administration,Yes,Yes,Parramatta / Sydney City,2,"A$39,337","A$78,674",079261D,2026 intakes,Study Australia 2026 course record,Western Sydney official course information,2026-08-20
Sydney,University of Technology Sydney (UTS),Master of Business Administration,Yes,Yes,City,2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,025004A,Autumn / Spring,UTS exact 2026 international figure not established,UTS official course page,2026-08-20
Sydney,Australian Catholic University,Master of Business Administration,Yes,Yes,North Sydney,2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,084682G,March / August,ACU exact 2026 international figure not established,ACU 2026 handbook,2026-08-20
Sydney,University of Wollongong,Master of Business Administration,Yes,Yes,Sydney,1.5,Cannot establish exact reliable 2026 figure,"A$61,771",013031G,Trimester 1 / 2 / 3,UOW 2026 course fee shown; international annual treatment not cleanly verified,UOW official course page,2026-08-20
Sydney,University of Newcastle,Master of Business Administration,Yes,Yes,Sydney CBD,1.5,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,Trimester 1 / 2 / 3,Newcastle exact 2026 international fee not established,Newcastle official MBA page,2026-08-20
Sydney,Southern Cross University,Master of Business Administration,Yes,Yes,Sydney,2,"A$26,000","A$52,000",079662J,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Brisbane,University of Queensland,Master of Data Science,Yes,Yes,St Lucia,1.5 / 2,"A$60,952","A$91,428 / A$121,904",092454G,February / July,UQ 2026 international fee,UQ official course page,2026-08-20
Brisbane,Queensland University of Technology,Master of Data Science,Yes,Yes,Gardens Point,2,"A$44,200","A$88,400",116754E,February / July,QUT 2026 international fee,QUT official course page,2026-08-20
Brisbane,Griffith University,Master of Data Science,Yes,Yes,Brisbane South (Nathan),1 / 1.5 / 2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,115627J,March / July,Griffith exact 2026 international fee not established,Griffith official course page,2026-08-20
Brisbane,University of Queensland,Master of Information Technology,Yes,Yes,St Lucia,2,"A$58,056","A$116,112",080723B,February / July,UQ 2026 international fee,UQ official course page,2026-08-20
Brisbane,Queensland University of Technology,Master of Information Technology,Yes,Yes,Gardens Point,2,"A$45,000","A$90,000",Cannot establish exact reliable 2026 figure,2026 intakes,QUT 2026 international fee; CRICOS not re-verified,QUT official course page,2026-08-20
Brisbane,Griffith University,Master of Information Technology,Yes,Yes,Brisbane South (Nathan),1.5 / 2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,083391D,March / July / November,Griffith exact 2026 international fee not established,Griffith official course page,2026-08-20
Brisbane,James Cook University,Master of Information Technology,Yes,Yes,Brisbane,2,"A$32,168","A$64,336",Cannot establish exact reliable 2026 figure,February / May / September,JCU 2026 fee information,JCU official course page,2026-08-20
Brisbane,CQUniversity,Master of Information Technology,Yes,Yes,Brisbane,2,"A$39,840","A$79,680",083576F,Term 3,CQU 2026 indicative fee,CQU official international course page,2026-08-20
Brisbane,Southern Cross University,Master of Information Technology,Yes,Yes,Brisbane,2,"A$26,000","A$52,000",117757E,June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Brisbane,University of Queensland,Master of Business Administration,Yes,Yes,Brisbane City,1.5,"A$69,112","A$103,668",116551E,February / July,UQ 2026 international fee,UQ official course page,2026-08-20
Brisbane,Griffith University,Master of Business Administration,Yes,Yes,South Bank,1 / 1.5,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,011433F,March / July,Griffith exact 2026 international fee not established,Griffith official course page,2026-08-20
Brisbane,James Cook University,Master of Business Administration,Yes,Yes,Brisbane,1.5,"A$33,133","A$49,699.50",Cannot establish exact reliable 2026 figure,February / May / September,JCU 2026 fee information,JCU official course page,2026-08-20
